Narration,Label
NACH_AD__CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN/CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD_ / CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH_AD _CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH-AD_RTN_CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7 / 32192,ACH BOUNCED CHARGES
NACH/AD_RTN_CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH-_RTN_CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD_CHRG~OF_RTN-BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH AD_RTN_CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH__RTN_CHRG~OF/BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH / AD_CHRG~OF RTN BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF / BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN-CHRG~OF / BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH-AD_RTN_CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN/CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD/RTN_CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD/RTN_CHRG~OF/BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD / RTN_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_-RTN_CHRG~OF/BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF/BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH/AD_RTN_CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7 / 99225,ACH BOUNCED CHARGES
NACH_AD/RTN_CHRG~OF BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH / AD_RTN_CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD_CHRG~OF_RTN BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF/BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD / RTN / CHRG~IPRULI~15JUN24~77394D3~73221937 / 18994,ACH BOUNCED CHARGES
NACH AD_RTN_CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD_/CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
_AD / RTN_CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH / AD_RTN_CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
AD_NACH_RTN_CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD / RTN CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
AD_NACH_RTN_CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH / AD_RTN_CHRG~OF BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH-AD_RTN_CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH_AD__CHRG~OF BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH_AD / RTN-CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH-AD-_CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH_AD-RTN_CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
AD_NACH_RTN_CHRG~IPRULI~15JUN24~77394D3~73221937 / 34882,ACH BOUNCED CHARGES
NACH/AD_RTN_CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH / AD_RTN_CHRG~OF / BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH AD_RTN_CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH_AD_RTN/CHRG~OF/BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH AD_RTN_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF-BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
_AD_RTN_CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH/AD_RTN_CHRG~OF/BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH_AD / RTN_CHRG~OF-BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD / RTN_CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
AD_NACH_RTN_CHRG~OF BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH-AD_RTN_CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD RTN/ CHRG~OF,ACH BOUNCED CHARGES
NACH_AD-RTN_CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN-CHRG~IPRULI~15JUN24~77394D3~73221937 / 92849,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF / BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD_CHRG~OF_RTN BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH / AD_RTN_CHRG~OF/BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN-CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN-CHRG~IPRULI~15JUN24~77394D3~73221937 / 13087,ACH BOUNCED CHARGES
NACH/AD_RTN_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD-RTN_CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD-RTN_CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH_AD / RTN / CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH / AD-RTN-CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD__CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH_AD_RTN / CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH/AD_RTN_BNKBFLF~02AUG24~B735E9A~ICIC7 CHRG~OF,ACH BOUNCED CHARGES
NACH_AD_RTN-CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH_AD__CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH_AD RTN_CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00 / 16374,ACH BOUNCED CHARGES
NACH_ RTN_CHRG~OF-BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD__CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH_AD_RTN BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~IPRULI~15JUN24~77394D3~73221937 / 64966,ACH BOUNCED CHARGES
NACH/AD_RTN_CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF/BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH_AD / RTN_CHRG~OF-BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF-BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
_AD_RTN_CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH/AD_RTN CHRG~OF BNKBFLF~02JUL24~1E02320~SME00 / 50375,ACH BOUNCED CHARGES
_AD_RTN_CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD__CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD RTN_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD RTN_CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH/AD_RTN / / BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN / CHRG~OF,ACH BOUNCED CHARGES
NACH_AD-RTN_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF/BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD / RTN_CHRG~OF / BNKBFLF~02AUG24~B735E9A~ICIC7 / 69491,ACH BOUNCED CHARGES
NACH / AD_RTN_CHRG~OF/BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN/CHRG~OF / BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
/ AD_RTN_CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD RTN-CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH/AD_RTN_CHRG~OF / BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~IPRULI~15JUN24~77394D3~73221937 / 35925,ACH BOUNCED CHARGES
NACH_AD RTN_CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF-BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN-CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH-AD_RTN_ BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN-CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF-BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD / RTN_CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF / BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF BNKBFLF~03JUL24~4270263~ICIC7 / 82174,ACH BOUNCED CHARGES
NACH_RTN / AD_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD_/CHRG~OF / BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH AD_RTN_CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH_AD / RTN_CHRG~OF/BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD_CHRG~OF_RTN,ACH BOUNCED CHARGES
NACH_AD/RTN_CHRG~OF/BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH_AD/RTN_CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH / AD_RTN_CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD-_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN / CHRG~IPRULI~15JUN24~77394D3~73221937 / 26402,ACH BOUNCED CHARGES
NACH / AD_RTN_CHRG~OF-BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD -CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH_AD_RTN / CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD/RTN-CHRG~OF / BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN / CHRG~OF / BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF BNKBFLF~03JUL24~E82C515~SME00 / 28858,ACH BOUNCED CHARGES
NACH_RTN_AD_ BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH__RTN_CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF / BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH_AD_CHRG~OF_RTN BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN / CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH/AD_RTN_CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN-CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
_AD_RTN_CHRG~OF-BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF-BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF/BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH/AD_RTN_CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH AD_RTN / CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH/_RTN_BNKBFLF~02AUG24~2F2E91F~SME00 CHRG~OF / 4434,ACH BOUNCED CHARGES
NACH_AD__CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH-AD_RTN_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD RTN_CHRG~OF BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
_AD_RTN_CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN-CHRG~OF-BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN_ BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~IPRULI~15JUN24~77394D3~73221937 / 70063,ACH BOUNCED CHARGES
NACH_AD-RTN_CHRG~OF/BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD / RTN_CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~IPRULI~15JUN24~77394D3~73221937 / 11765,ACH BOUNCED CHARGES
NACH/AD_RTN/CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH_AD_RTN-CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD/RTN-CHRG~OF BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN CHRG~OF-BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD / RTN_CHRG~OF BNKBFLF~02JUL24~1E02320~SME00 / 12013,ACH BOUNCED CHARGES
NACH-AD_RTN_CHRG~OF BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH_AD_CHRG~IPRULI~15JUN24~77394D3~73221937_RTN,ACH BOUNCED CHARGES
AD-NACH/RTN_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH AD_RTN_CHRG~OF BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH / AD_RTN_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_RTN/AD_CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN_BNKBFLF~02JUL24~06F5068~ICIC7 CHRG~OF / 82068,ACH BOUNCED CHARGES
NACH_AD_RTN CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN/CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH_AD / RTN_CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
AD NACH__CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN/CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
AD_NACH_RTN_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH/AD_RTN_CHRG~OF BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH/AD_RTN_CHRG~OF-BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH_AD/RTN_CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN / CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH__RTN_CHRG~OF BNKBFLF~03JUL24~E82C515~SME00 / 85103,ACH BOUNCED CHARGES
NACH_AD_RTN-CHRG~OF BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF BNKBFLF~03JUL24~4270263~ICIC7 / 5755,ACH BOUNCED CHARGES
NACH_AD-RTN CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN / CHRG~OF BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH / AD_RTN_CHRG~OF / 89040,ACH BOUNCED CHARGES
NACH-AD_RTN_CHRG~OF,ACH BOUNCED CHARGES
NACH__RTN_CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH__RTN_CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN CHRG~OF BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH_AD_-CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD_CHRG~OF_RTN BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF BNKBFLF~03JUL24~E82C515~SME00 / 6605,ACH BOUNCED CHARGES
/ AD_RTN_CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF/BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_BNKBFLF~03JUL24~E82C515~SME00 / 93774,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7 / 72134,ACH BOUNCED CHARGES
NACH_AD-RTN/CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_RTN_AD-CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF/BNKBFLF~02JUL24~1E02320~SME00 / 17109,ACH BOUNCED CHARGES
NACH-_RTN_CHRG~OF BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH_-AD_CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_BNKBFLF~02AUG24~B735E9A~ICIC7 / CHRG~OF,ACH BOUNCED CHARGES
NACH-AD_RTN_CHRG~OF/BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH__RTN_CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH/AD RTN_CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN,ACH BOUNCED CHARGES
NACH_AD-RTN CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7 / 32307,ACH BOUNCED CHARGES
NACH / AD_RTN_CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH_AD-RTN_CHRG~OF BNKBFLF~02JUL24~1E02320~SME00 / 59564,ACH BOUNCED CHARGES
NACH_AD RTN / CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7 / 19532,ACH BOUNCED CHARGES
NACH / AD RTN_ BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH AD_RTN_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00 / 75780,ACH BOUNCED CHARGES
NACH_AD-RTN_CHRG~OF / BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD RTN_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00 / 54346,ACH BOUNCED CHARGES
AD_NACH_RTN / CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7 / 5871,ACH BOUNCED CHARGES
_AD_RTN CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH_AD/RTN_CHRG~OF,ACH BOUNCED CHARGES
NACH_AD/RTN_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7 / 19331,ACH BOUNCED CHARGES
NACH AD/RTN CHRG~OF,ACH BOUNCED CHARGES
AD / NACH_RTN_CHRG~OF-BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_BNKBFLF~03JUL24~4270263~ICIC7 CHRG~OF,ACH BOUNCED CHARGES
NACH AD_RTN_CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
